sample_id,clim_precip,clim_temp,soil_texture,topo_elevation,topo_slope
324,0.1116275607743767,290.06943381966545,5,65,4.908753
325,0.1133602640665055,290.1652337783331,8,103,0.92740995
326,0.1091692120071412,289.44716035843174,8,124,2.1778853
327,0.110524506720139,289.9566239418585,8,217,6.86854
328,0.1124753894786267,290.1438871461221,6,57,3.5894215
329,0.1232165442313086,291.06327919708843,5,45,1.8543341
330,0.1116308836006981,289.4024319711093,8,74,2.4686012
331,0.1259020089415076,291.1804474351712,8,46,4.9805894
332,0.1254737467892003,291.0202505971297,8,51,0.92740995
333,0.1215310056545393,290.6733917996294,5,62,3.496935
334,0.1224518571465122,290.7054092612227,8,49,1.8543341
335,0.1084027815162551,289.30035441773555,8,160,5.1569347
336,0.1172087166392767,290.42101446464835,8,60,0.0
337,0.1146762979825711,290.2661152724613,8,64,2.4518807
338,0.1175812008299865,290.42358294277886,8,64,0.92740995
339,0.1256377040784324,291.19384271250294,4,47,2.1625364
340,0.1248961791044174,290.9394278292834,1,56,0.0
341,0.1237860851468198,290.8490036650251,8,54,0.92740995
342,0.1194637913957429,290.5482095000036,9,63,2.1705937
343,0.1184077650195816,290.4760005723687,8,71,1.8543341
344,0.1159232195751913,290.3400792885541,8,81,5.3068466
345,0.1148299423038164,290.27502981256293,8,66,1.465784
346,0.1192819677663583,290.52314636960523,8,67,3.38191
347,0.1146507489920627,290.2642786926331,8,57,2.4513705
348,0.1156931446048052,290.3134086986523,8,61,1.4639869
349,0.1178635812170854,290.44816823843377,7,72,3.3852057
350,0.1203127179913363,290.59140254999124,8,52,2.1700127
351,0.1107250672500512,289.9803834949063,7,198,4.9099717
352,0.1159212333233533,290.3412843774791,4,61,1.4651772
353,0.1162453060124011,290.3579144311784,8,64,1.1334349
354,0.1191985120341043,290.5412779839644,4,58,3.3847277
355,0.1125463898172547,290.1304831335673,8,125,3.8743122
356,0.1178923953320556,290.4638568457981,7,58,1.8543341
357,0.1085848554924652,289.16997376022863,7,153,5.8735347
358,0.1094134973192175,289.1519830020176,4,74,1.8543341
359,0.111700042320865,290.1017883599976,7,60,0.92740995
360,0.1178686528855427,290.4499983922237,8,71,0.0
361,0.1243556533021777,291.0277504956523,7,43,2.164545
362,0.1263330667420016,291.24793347730736,8,41,2.4089253
363,0.109977902060453,289.7834892024032,7,227,4.6465807
364,0.1206561234423937,290.59688535562776,8,54,3.379238
365,0.1189664254633897,290.52109269651424,8,60,0.92740995
366,0.1229125886685628,290.74580331951745,8,59,2.168074
367,0.1171121207078621,290.39422240927854,8,63,2.1718097
368,0.1159687684830839,290.34328657147705,8,111,2.7802885
369,0.1109759546006764,289.4598610611829,8,79,1.1437528
370,0.1081428590096171,289.159258683831,8,165,4.928559
371,0.1191868446298387,290.5192244690609,8,56,0.0
372,0.1188467993168521,290.51258120327793,8,61,2.1710386
373,0.1080337987416714,289.13119853518015,8,169,10.195709
374,0.1246174926377315,290.91045417681846,7,57,1.1199118
375,0.1234188022052241,291.2256441079617,4,32,0.92740995
376,0.1113410768478516,289.7915248984133,8,71,1.4704437
377,0.1180675362249071,290.4620618937193,8,63,0.92740995
378,0.1219886363926901,290.95934953592666,5,44,2.7802885
379,0.125193050867777,291.04856735941934,8,48,1.1169262
380,0.1224191652553742,290.70187126703024,8,49,2.4330776
381,0.1079954887285543,289.0059791766689,8,109,2.7802885
382,0.1230350187171921,290.78164560161383,8,56,2.4293532
383,0.1219166810191299,290.72569660810973,8,49,3.496211
384,0.1118504132197018,289.6461249153944,8,70,5.994089
385,0.1079007075258561,289.0702374633738,7,207,3.5994434
386,0.1260116401127784,291.15730567814086,8,48,1.1143911
387,0.1105234448349586,289.45826798140246,5,73,1.8543341
388,0.1220632865591015,290.80121494548905,8,50,1.4562675
389,0.110832932983497,289.63426762424734,6,70,2.1775217
390,0.1219044224836582,290.8187712434434,8,52,1.4559268
391,0.1218678320622456,290.81052571454507,8,51,0.92740995
